ID,Category,Title,Description,Covered By
F-PM-010,Input,Transaktionsquelle,Das Skript muss die Transaktionsdaten aus der Datei 'trades.xml' lesen können.,service.py
F-PM-020,Logic,Offene Positionen,Das Skript muss aus den Transaktionen die aktuell offenen Positionen ermitteln (Netto-Position ≠ 0).,service.py
F-PM-030,Logic,Positions-Richtung,Das Skript muss Long- und Short-Positionen korrekt unterscheiden und anzeigen.,service.py
F-PM-040,Logic,Durchschnittspreis,Der gewichtete Durchschnitts-Einstiegspreis muss für jede offene Position berechnet werden.,service.py
F-PM-050,Persistence,Risikodaten laden,Das Skript muss vorhandene Risikodaten aus 'manual_risk_data.json' laden.,service.py
F-PM-060,Persistence,Risikodaten speichern,Das Skript muss aktualisierte Risikodaten in 'manual_risk_data.json' speichern.,service.py
F-PM-090,Calculation,Initial Risk,"Das Initial Risk wird berechnet als |Entry - StopLoss| × Quantity (Bestandspositionen).",service.py
F-PM-100,Calculation,Richtungsabhängig,Die Berechnung muss Long (Stop < Entry) und Short (Stop > Entry) korrekt berücksichtigen.,service.py
F-PM-110,Data,Positions-Key,Jede Position muss eindeutig über Symbol + Entry Date identifizierbar sein.,service.py
F-PM-160,Logic,Löschen durch Null,Das Löschen eines Stop-Loss erfolgt durch Setzen des Wertes auf 0.0 (impliziert Totalverlust).,service.py
F-PM-180,Integration,DataFetcher Schnittstelle,Das Skript muss aktuelle Marktpreise über den py_datafetcher Dienst beziehen.,service.py
F-PM-230,Calculation,Unrealized P&L,"Berechnung von Gewinn/Verlust absolut und in Prozent (Marktpreis vs. Einstand).",service.py
F-PM-240,Calculation,R-Multiple,"Das R-Multiple (P&L / Initial Risk) wird für jede Position mit Risiko berechnet.",service.py
F-PM-250,Output,Portfolio Summen,Gesamtsummen für Investiertes Kapital (Marktwert) und nicht realisierte G+V.,service.py
F-PM-260,Output,Journal Integration,"Kennzahlen Equity, Buying Power (Cash) und Invested werden aus journal.csv gelesen.",service.py
F-PM-270,Architecture,Service Entkopplung,Geschäftslogik ist in PortfolioService gekapselt; Datenaustausch via DTOs.,service.py
F-PM-290,Dashboard,Interaktive Übersicht,Grafische und tabellarische Darstellung im Streamlit-Dashboard.,portfolio_overview.py
F-PM-300,Dashboard,Interactive Data Editing,Stop-Loss Werte können direkt im Dashboard-Editor geändert und gespeichert werden.,portfolio_overview.py
F-PM-330,Metrics,Minervini Kennzahlen,"System berechnet 'Days held' (Time-Stop), 'Pos %' (Exposure) und 'Risk %' (Equity Risk).",service.py
F-PM-350,Configuration,Zentrale Risikoeinstellungen,Handels-Parameter (Risiko-Standard, Time-Threshold, Fees) aus 'data_risksettings.csv' laden.,service.py
F-MSM-010,Architecture,Single Class Module,Eigenständige Klasse (MinerviniSizer) für die Sizing-Logik (Live/Paper nutzbar).,-
F-MSM-020,Configuration,Risk Settings Integration,Nutzung von target_exposure_pct, default_fee, max_pos_size_pct aus data_risksettings.csv.,-
F-MSM-030,Logic,Step 1: Portfolio Status,Abfrage Equity/Exposure. Defaults aus Live-Daten sind vom User überschreibbar.,-
F-MSM-040,Logic,Target Exposure Calculation,Berechnung des verfügbaren Budgets basierend auf Target Exposure %.,-
F-MSM-050,Logic,Step 2: Trade Params,Abfrage von Symbol, Entry, Stop. Risk%, MaxSize% und Fee Defaults aus Settings.,-
F-MSM-060,Calculation,Limit 1: Risk-Based,Stückzahl = (Equity * Risk% - 2*OneWayFee) / (Entry - Stop).,-
F-MSM-070,Calculation,Limit 2: Budget-Based,Limitierung der Stückzahl durch verbleibendes Exposure-Budget.,-
F-MSM-080,Calculation,Limit 3: Size-Cap,Limitierung durch maximale Positionsgröße (z.B. max. 25% Equity).,-
F-MSM-090,Logic,Step 3: The Funnel,Ermittlung des Minimums aus Risiko-, Budget- und Size-Limit als Vorschlagswert.,-
F-MSM-100,UX,Manual Override,Manuelle Korrektur des vorgeschlagenen Engpass-Wertes durch den Benutzer.,-
F-MSM-110,Output,Step 4: Scenario Summary,Zusammenfassung inkl. neuem Exposure %, Risiko an Equity und R-Zielen.,-
F-PM-370,Logic,Metadata Merging,Manuelle Stops und Metadaten werden beim Broker-Refresh aus dem Snapshot gemerget (kein Datenverlust).,service._merge_states
